airline,frequency,return_type,alpha,beta,r_squared,p_value,interpretation,beta_rank,significant,beta_confidence_score
Ryanair,Monthly,Excess Returns,-0.0038435407087139693,0.07553024128955833,0.013538494016605807,0.24656258628391028,A 1% increase in Brent returns was associated with a 0.08% increase in Ryanair excess returns.,1,False,0.0010225657197714783
American Airlines,Monthly,Excess Returns,-0.015053532786783229,0.04740285059296656,0.002930498501906233,0.5908094308812513,A 1% increase in Brent returns was associated with a 0.05% increase in American Airlines excess returns.,2,False,0.0001389139826487735
Lufthansa,Monthly,Excess Returns,-0.012311298248957008,0.02410509656076976,0.0011221342342533631,0.739469157798276,A 1% increase in Brent returns was associated with a 0.02% increase in Lufthansa excess returns.,3,False,2.704915407082275e-05
Southwest,Monthly,Excess Returns,-0.006806517758741152,0.0018396802394578648,6.3017388345961666e-06,0.9801231787992363,A 1% increase in Brent returns was associated with a 0.00% increase in Southwest excess returns.,4,False,1.1593184408230802e-08
Ryanair,Monthly,Returns,0.005866509704585943,0.1767390750891582,0.04631401920035241,0.03067418799520286,A 1% increase in Brent returns was associated with a 0.18% increase in Ryanair returns.,1,True,0.0081854969171318
American Airlines,Monthly,Returns,-0.005343482373483321,0.14861168439256636,0.020558206694270748,0.1525933947674851,A 1% increase in Brent returns was associated with a 0.15% increase in American Airlines returns.,2,False,0.0030551897249261094
Lufthansa,Monthly,Returns,-0.002601247835657107,0.12531393036036972,0.02227899115192325,0.1362908677863329,A 1% increase in Brent returns was associated with a 0.13% increase in Lufthansa returns.,3,False,0.0027918679457114032
Southwest,Monthly,Returns,0.0029035326545587548,0.10304851403905786,0.01435676244100597,0.23267765006687335,A 1% increase in Brent returns was associated with a 0.10% increase in Southwest returns.,4,False,0.0014794430359574224
Ryanair,Weekly,Excess Returns,-0.0001379268380722579,-0.08501433146429524,0.011570035484942873,0.024044627921806415,A 1% increase in Brent returns was associated with a 0.09% decrease in Ryanair excess returns.,1,True,0.0009836188317705913
Lufthansa,Weekly,Excess Returns,-0.002579545190433505,-0.07033025623284639,0.006082367716135204,0.1023096981078413,A 1% increase in Brent returns was associated with a 0.07% decrease in Lufthansa excess returns.,2,False,0.00042777447997818156
Southwest,Weekly,Excess Returns,-0.0015213763951523785,-0.04570416243220883,0.003305556039684872,0.22875631513908593,A 1% increase in Brent returns was associated with a 0.05% decrease in Southwest excess returns.,3,False,0.00015107767016652634
American Airlines,Weekly,Excess Returns,-0.002233432065799729,-0.040693032765039217,0.0011200177403372022,0.4838012043043431,A 1% increase in Brent returns was associated with a 0.04% decrease in American Airlines excess returns.,4,False,4.557691860496695e-05
American Airlines,Weekly,Returns,0.0001430627967237468,0.05633170559119382,0.0016209486689761237,0.3995298077667023,A 1% increase in Brent returns was associated with a 0.06% increase in American Airlines returns.,1,False,9.131080319920049e-05
Southwest,Weekly,Returns,0.0008551184673710891,0.05132057592402425,0.0029256147993648647,0.25755837562081285,A 1% increase in Brent returns was associated with a 0.05% increase in Southwest returns.,2,False,0.00015014423643525351
Lufthansa,Weekly,Returns,-0.00020305032791004095,0.026694482123386574,0.0007764690762378394,0.5599230803148175,A 1% increase in Brent returns was associated with a 0.03% increase in Lufthansa returns.,3,False,2.0727439874993492e-05
Ryanair,Weekly,Returns,0.002238568024451211,0.012010406891937837,0.00016853993333706326,0.7859636852325488,A 1% increase in Brent returns was associated with a 0.01% increase in Ryanair returns.,4,False,2.0242331769182084e-06
